Date,Month,Day,Room_Type,Price,Customer_Rating,Booking_Source,Country
2024-01-01,1,1,Double,117,1,Online,UK
2024-01-01,1,1,Deluxe,389,3,Online,India
2024-01-01,1,1,Deluxe,328,5,Online,USA
2024-01-01,1,1,Double,145,4,Corporate,Australia
2024-01-01,1,1,Double,83,5,Corporate,Germany
2024-01-01,1,1,Single,98,4,Walk-in,France
2024-01-01,1,1,Deluxe,314,2,Walk-in,UK
2024-01-01,1,1,Double,145,2,Online,UK
2024-01-01,1,1,Single,79,2,Walk-in,USA
2024-01-01,1,1,Double,144,1,Online,France
2024-01-01,1,1,Deluxe,263,3,Walk-in,France
2024-01-01,1,1,Single,61,5,Corporate,Germany
2024-01-02,1,2,Deluxe,202,1,Online,Germany
2024-01-02,1,2,Suite,211,4,Corporate,UK
2024-01-02,1,2,Deluxe,272,3,Corporate,India
2024-01-02,1,2,Single,65,5,Walk-in,USA
2024-01-02,1,2,Deluxe,322,1,Walk-in,Germany
2024-01-02,1,2,Single,58,3,Online,USA
2024-01-02,1,2,Double,88,3,Online,Germany
2024-01-02,1,2,Double,117,2,Corporate,Australia
2024-01-02,1,2,Single,52,1,Corporate,France
2024-01-02,1,2,Suite,272,3,Walk-in,UK
2024-01-02,1,2,Single,76,5,Travel Agency,France
2024-01-02,1,2,Double,136,2,Corporate,France
2024-01-02,1,2,Deluxe,395,4,Travel Agency,Australia
2024-01-02,1,2,Double,83,2,Walk-in,France
2024-01-02,1,2,Single,85,3,Corporate,Germany
2024-01-02,1,2,Double,83,5,Corporate,Australia
2024-01-02,1,2,Suite,203,2,Online,Canada
2024-01-02,1,2,Deluxe,361,1,Travel Agency,Germany
2024-01-03,1,3,Single,69,5,Corporate,UK
2024-01-03,1,3,Suite,256,2,Online,USA
2024-01-03,1,3,Single,84,2,Corporate,Germany
2024-01-03,1,3,Double,127,4,Online,Australia
2024-01-03,1,3,Single,64,4,Online,Canada
2024-01-03,1,3,Suite,178,1,Corporate,Canada
2024-01-03,1,3,Double,82,1,Online,Germany
2024-01-03,1,3,Double,145,2,Travel Agency,France
2024-01-03,1,3,Suite,270,4,Online,Australia
2024-01-03,1,3,Single,70,1,Online,USA
2024-01-04,1,4,Deluxe,364,5,Walk-in,Canada
2024-01-04,1,4,Double,123,5,Corporate,France
2024-01-04,1,4,Suite,204,3,Corporate,Germany
2024-01-04,1,4,Double,102,4,Travel Agency,USA
2024-01-04,1,4,Double,120,4,Corporate,UK
2024-01-04,1,4,Deluxe,393,3,Travel Agency,USA
2024-01-04,1,4,Deluxe,321,5,Walk-in,Japan
